Image,Item_Name,Box,Notes
images/image1_small.jpg,"Ella Princess Gown",9,"Also boxes 17–27 (all sizes)"
images/image2_small.jpg,"Cora Set (Sleeveless top + shorts, flower blue)",29,"Also Cora light blue"
images/image3_small.jpg,"Cora Set (Sleeveless top + shorts, flower pink)",29,
images/image4_small.jpg,"Ava Set (Green top + Yellow pants)",43,
images/image5_small.jpg,"Harper Girls Shorts & Vest (Lemon / Green)",30,
images/image6_small.jpg,"Ruby Girls Pyjama (Boob tube + shorts, check pink)",39,
images/image7_small.jpg,"Ella Semi-Pyjama Pink",28,"Also boxes 37, 46"
images/image8_small.jpg,"Grace Girls Nightie (Off-white Organic, bow)",47,
images/image9_small.jpg,"Isabella Nightdress (Check blue / pink)",41,
images/image10_small.jpg,"Mia Girls Shirt (Blue / Lilac)",38,"Also box 29 Lilac"
images/image11_small.jpg,"Ella Suzy 90 (Pink)",45,"Also boxes 54"
images/image12_small.jpg,"Ella Suzy 90 (Pink, alt)",54,
images/image13_small.jpg,"Ella Suzy 90 (Pink, alt)",38,
images/image14_small.jpg,"Charlotte LR Suzy 90 (Light blue)",43,
images/image15_small.jpg,"Eliana LR Suzy 90 (Lemon flowers)",38,
images/image16_small.jpg,"Cora LR Suzy 90 (Flower blue)",39,
images/image17_small.jpg,"Jack Boys Pyjama (Blue top + Brown pants)",40,"Also box 49"
images/image18_small.jpg,"Oliver Long Pyjama (Black check)",44,"Also box 53"
images/image19_small.jpg,"Thomas Boys Pyjama (Grey/blue sets)",42,"Also Noah shorty (various colours)"
images/image20_small.jpg,"Maisie Baby Set (Pink)",39,
images/image21_small.jpg,"Olivia Girls Long Pyjama (Pink/Blue)",50,
images/image22_small.jpg,"Aria Ladies Long Pyjama (Pink/Light blue)",52,
images/image23_small.jpg,"Layla Ladies Short Pyjama (Floral)",51,
images/image24_small.jpg,"Layla Ladies Short Nightie (Floral/Yellow)",50,
images/image25_small.jpg,"Sophia Women's Shirt (Off-white / Blue)",51,
images/image26_small.jpg,"Summer Ladies Dressing Gown (Lilac/Lemon/Blue)",30,"Also boxes 48"
images/image27_small.jpg,"Maya Gown Leopard","10–16",
images/image28_small.jpg,"Josh Gown Check","31–36",
images/image29_small.jpg,"Jack Gown Brown","1–8",
images/image30_small.jpg,"Fireman Raincoat (Yellow, no hat)",57,
images/image31_small.jpg,"Candy Raincoat + Hat (Pink)","56–57",
images/image32_small.jpg,"Candy Raincoat (Pink, no hat)",57,
images/image33_small.jpg,"Fireman Raincoat + Hat (Yellow)",57,

