Box_No,New_Product_Name,Description,Colour,Size_2,Size_4,Size_6,Size_8,Size_10,Size_12,Size_14,Row_Total,Category,Recalc_Flag
29.0,Cora,Girls Top - Sleeveless & Shorts - 1 Flower,Blue,4,2,0,2,1,1,0,10,Children's,Used Qty
29.0,Cora,Girls Top - Sleeveless & Shorts - 1 Flower,Pink ,6,3,1,6,6,3,0,25,Children's,Used Qty
43.0,Ava,Girls Singlet Top & Pants,Green Top / Yellow Pants,4,8,10,5,0,0,0,27,Children's,Used Qty
41.0,Evie,Girls Shorty PJ - 1 Bow,Pink Spotted shorts,0,2,1,0,0,0,0,3,Sleep/Lounge (Unisex),Used Qty
41.0,Eliana,Girls Shorty PJ - 1 Flower,Pink and cream floral,2,2,0,0,0,0,0,4,Sleep/Lounge (Unisex),Used Qty
41.0,Evie,Girls Shorty PJ - Top & Pants,Blue Floral shorts,0,3,1,0,0,0,0,4,Sleep/Lounge (Unisex),Used Qty
29.0,Cora,Girls Top - Sleeveless & Shorts - 1 Flower,Light Blue,0,3,11,0,0,0,0,14,Children's,Used Qty
41.0,Daisy,Girls Sleeveless Shorty PJ ,Pink floral shorts,2,1,5,0,0,0,0,8,Sleep/Lounge (Unisex),Used Qty
30.0,Harper,Girls Shorts & Vest ,Lemon top & pants,4,3,6,3,4,1,0,21,Children's,Used Qty
30.0,Harper,Girls Shorts & Vest ,Green top,1,0,3,6,3,2,0,15,Children's,Used Qty
39.0,Ruby,Girls PJ BooB Tube and Shorts ,Check Pink ,0,0,4,0,0,0,9,13,Sleep/Lounge (Unisex),Used Qty
39.0,Chloe,Girls PJ Set - S/S Top + Long Pants,Light blue with Lilac piping,1,2,2,0,0,2,0,7,Sleep/Lounge (Unisex),Used Qty
41.0,Cora,Girls PJ Set L/S Top  & Long Pants,Light Blue,0,0,4,0,0,0,0,4,Sleep/Lounge (Unisex),Used Qty
38.0,Alice,Girls  PJ - L/S & Long Pants ,Striped Pink with collar,0,0,0,0,5,0,0,5,Sleep/Lounge (Unisex),Used Qty
38.0,Emily,Girls Top L/S & Long Pants  Set  - BELLA,Pink Flannelette,0,0,0,0,6,4,0,10,Children's,Used Qty
28.0,Ella,Sammy PJ ,Pink ,7,31,0,0,0,11,0,49,Sleep/Lounge (Unisex),Used Qty
37.0,Ella,Sammy PJ ,Pink ,0,0,10,0,26,0,0,36,Sleep/Lounge (Unisex),Used Qty
46.0,Ella,Sammy PJ ,Pink ,0,0,24,30,0,0,0,54,Sleep/Lounge (Unisex),Used Qty
43.0,Ava,Girls Singlet Top ,Green,1,3,0,1,0,2,0,7,Children's,Used Qty
43.0,Ava,Girls Singlet Top ,Yellow,3,0,5,1,0,0,0,9,Children's,Used Qty
47.0,Grace,Girls Nighty L/S - with 1 Bow ,Off White - organic,11,7,6,0,0,1,0,25,Sleep/Lounge (Unisex),Used Qty
